
account_id,customer_id,txn_id,txn_amount,txn_count_last_24h,avg_txn_amount,expected_income,txn_datetime,counterparty
ACC1001,CUST001,TXN0001,1200,2,600,50000,2025-10-30T10:12:00,MerchantA
ACC1002,CUST002,TXN0002,4500,12,375,35000,2025-10-30T09:05:00,PeerX
ACC1003,CUST003,TXN0003,250000,1,250000,60000,2025-10-29T18:20:00,ForeignAcct
ACC1004,CUST004,TXN0004,300,15,300,45000,2025-10-30T03:12:00,PeerY
ACC1005,CUST005,TXN0005,900000,1,900000,25000,2025-10-28T11:11:00,MerchantB
ACC1006,CUST006,TXN0006,2000,3,666,70000,2025-10-30T12:01:00,PeerZ
ACC1007,CUST007,TXN0007,100,20,100,80000,2025-10-30T02:02:00,PeerSmall
ACC1008,CUST008,TXN0008,50,30,50,90000,2025-10-29T23:59:00,MultipleSmall
ACC1009,CUST009,TXN0009,60000,1,60000,30000,2025-10-30T14:14:00,OneLarge
ACC1010,CUST010,TXN0010,400,5,80,40000,2025-10-30T16:00:00,Varied
